Address,Zip Code,Area,Price Category,Current Price,List Price,Close Price,Baths Total,Bedrooms,Building SqFt,Lot Size,Year Built,CDOM,Subdivision
1308 Malone Street,77007,77007/77055,Middle,655000,675000,655000,2.1,3,2576,2815,2018,50,Rice Military Woodcrest
1708 Sedola Lane,77055,77007/77055,Middle,655000,655000,655000,3.1,3,2200,1901,2026,136,Spring Valley Creek
7408 Shadyvilla Lane Unit#A,77055,77007/77055,Middle,655000,680000,655000,3.1,3,3212,2340,2015,566,Shadyvilla Place
1653 Bingle Road,77055,77007/77055,Middle,655000,669000,655000,3.1,3,2856,3937,2024,1049,Retreat/Bingle Sec Amd Place
3724 Somerset York Lane,77055,77007/77055,Middle,653412,699000,653412,2.1,3,2180,2254,2021,64,Somerset Green
1503-B Caywood Lane,77055,77007/77055,Middle,650210,675000,650210,2.1,3,2344,3451,2025,66,Spring Branch
4331 O'Reilly Street,77007,77007/77055,Middle,650000,650000,650000,3.1,3,2461,1832,2003,16,O Reilly Court Amd
5203 Lillian Street,77007,77007/77055,Middle,650000,674000,650000,3.1,3,2437,2494,2004,20,Waterhill Homes/Lillian Sec 03
519 Threlkeld Street,77007,77007/77055,Middle,650000,675000,650000,2.0,3,2217,4758,2003,94,Threlkeld Point
4303 Blossom Street,77007,77007/77055,Middle,650000,655000,650000,3.1,3,2557,2777,2004,202,Rice Military
1509 Colorado Street,77007,77007/77055,Middle,650000,650000,650000,3.1,3,2780,1591,2013,258,Modern Sawyer Heights
5407 Feagan Street Unit#B,77007,77007/77055,Middle,650000,675000,650000,3.2,3,3008,2253,2010,145,Park Villas/Feagan
1418 Caywood Lane Unit#B,77055,77007/77055,Middle,650000,660000,650000,3.1,4,2729,3086,2025,104,Caywood Place
1328 Bingle Road,77055,77007/77055,Middle,650000,645000,650000,2.0,3,1857,9000,1953,8,Spring Oaks Sec 02
1747 Ojeman Point Lane,77055,77007/77055,Middle,650000,652000,650000,2.1,3,2414,2363,2022,14,Spring Vly Point
3722 Somerset York Lane,77055,77007/77055,Middle,650000,665000,650000,2.1,3,2120,2254,2019,96,Somerset Green Sec 6
1035 Wirt Road,77055,77007/77055,Middle,650000,699000,650000,2.1,3,2141,8065,1979,105,Hilshire Woods
1614 Ojeman Road Unit#J,77055,77007/77055,Middle,649000,649000,649000,4.0,4,2442,NULL,2025,72,Ojeman Heights
8703 Ojeman Villas Drive,77055,77007/77055,Middle,649000,649000,649000,3.1,3,2226,NULL,2024,217,MEMORIAL LUXURY VILLAS
9214 Rangely Drive,77055,77007/77055,Middle,645000,648000,645000,2.0,3,2094,12125,1958,3,Western Oaks
609 Rutland Street Unit#A,77007,77007/77055,Middle,643350,675000,643350,3.1,3,2304,2100,2015,0,Rutland Park Add Pt Rep 3
1719 Crockett Street,77007,77007/77055,Middle,641000,675000,641000,2.0,3,1392,5900,1930,39,Baker Nsbb
7515 Woodridge Place,77055,77007/77055,Middle,641000,615000,641000,2.0,2,2273,5866,1997,3,Woodridge Place
621 Rutland Street Unit#A,77007,77007/77055,Middle,640000,650000,640000,3.1,3,2260,1900,2013,8,Rutland Park Add Pt Rep
5426 Feagan Street,77007,77007/77055,Middle,640000,699999,640000,3.1,3,2402,2500,2007,326,Mediterranean Villas
6108 Nicholas Grove Place,77055,77007/77055,Middle,640000,699500,640000,3.1,3,2949,1797,2019,32,Alexandra Grove Sub
1704 Sedola Lane,77055,77007/77055,Middle,640000,655555,640000,3.1,3,2200,1901,2026,243,Spring Valley Creek
104 Arnold Street,77007,77007/77055,Middle,639000,675000,639000,3.1,3,2417,2500,2010,93,Bercons Driscoll Street Villas
4016 Barnes Street,77007,77007/77055,Middle,639000,695000,639000,4.1,4,3349,2045,2015,19,Keystone/Jackson Hill
5335 Larkin Street,77007,77007/77055,Middle,639000,639000,639000,2.1,3,2438,2687,2025,24,COTTAGE GROVE SEC 1
1519 Baggett Lane,77055,77007/77055,Middle,639000,670000,639000,3.1,3,2537,3984,2021,6,Craig Woods Pt Rep #5
734 Yale Street Unit#A,77007,77007/77055,Middle,635000,639900,635000,3.1,3,2688,2168,2013,1,Terraces/Yale
2712 Maxroy Street,77007,77007/77055,Middle,635000,635000,635000,3.1,3,2202,NULL,2026,0,Cottage Grove Lake
411 T C Jester Boulevard,77007,77007/77055,Middle,635000,649990,635000,3.1,3,2844,1919,2016,96,Larkin Place
706 Olive Street Unit#B,77007,77007/77055,Middle,635000,659000,635000,2.1,3,2558,2600,2019,152,Rice Military
1306 Malone Street,77007,77007/77055,Middle,635000,645000,635000,2.1,3,2662,2815,2018,64,Woodcrest
5908 Kansas Street Unit#A,77007,77007/77055,Middle,634900,639900,634900,2.1,3,2576,2688,2025,92,Cottage Grove
4309 B Dickson Street Street,77007,77007/77055,Middle,632500,645000,632500,2.1,3,2365,2501,2026,160,Rice Military
802 Detering Street,77007,77007/77055,Middle,630000,645000,630000,3.0,3,2567,1808,2020,209,Detering Park
2311 Langston Street,77007,77007/77055,Middle,630000,625000,630000,2.1,3,2615,2809,2019,30,Grace Oak Trls
4224 Gibson Street,77007,77007/77055,Middle,627500,659000,627500,4.1,4,2784,1980,2017,83,Martin Pt Rep 1
1609 Roy Street,77007,77007/77055,Middle,627000,625000,627000,3.1,3,2390,1550,2025,110,Roy Crossing
2728 Maxroy Street,77007,77007/77055,Middle,625000,625000,625000,3.1,3,2202,NULL,2026,4,Cottage Grove Lake Phase 2
4419 Feagan Street,77007,77007/77055,Middle,625000,640000,625000,2.1,3,2423,2775,2008,54,Magnolia Grove Homes
5908 B Kansas Street,77007,77007/77055,Middle,624900,624900,624900,2.1,3,2532,2688,2025,57,Cottage Grove
1108 Dart Street,77007,77007/77055,Middle,624900,624900,624900,2.1,3,2572,2500,2024,305,Townhomes at Dart
1414 Caywood Lane Unit#A,77055,77007/77055,Middle,622250,645000,622250,2.1,3,2800,4047,2019,159,Shadyvilla Add #2 Pt Repl
621 Rutland Street Unit#D,77007,77007/77055,Middle,622000,629900,622000,3.1,3,2226,1600,2013,4,Rutland Park
312 Knox Street,77007,77007/77055,Middle,622000,650000,622000,2.1,2,2408,4200,1994,9,Rice Military
311 W 6th Street,77007,77007/77055,Middle,620000,655000,620000,3.1,3,2332,2200,2014,98,Fisher Place/Rutland Park
533 Studewood Street,77007,77007/77055,Middle,620000,649000,620000,1.1,3,1274,5750,1920,309,Usener Add
7118 Shavelson Street,77055,77007/77055,Middle,620000,650000,620000,2.0,3,2206,8328,1955,6,Afton Village Sec 01
9780 Cedardale Drive,77055,77007/77055,Middle,615500,649999,615500,2.1,3,2482,8475,1959,18,Spring Branch Woods
2709 Arabelle Grove,77007,77007/77055,Middle,615000,625000,615000,3.1,4,2630,2033,2011,15,Cottage Grove Sec 08 Rep 01
5202 Chandler Street,77007,77007/77055,Middle,615000,615000,615000,2.1,3,2362,2625,2018,6,Three Trees Reserve A
2411 Detering Street,77007,77007/77055,Middle,615000,615000,615000,2.1,3,2334,2725,2017,1,Cottage Grove Amd 1
5753 Kiam,77007,77007/77055,Middle,615000,629000,615000,3.1,3,2225,2687,2024,31,Cottage Grove
816 Dorothy Street Unit#B,77007,77007/77055,Middle,615000,650000,615000,2.1,3,2304,2125,2016,17,Oak Terrace
1614 Johanna Drive Unit#C,77055,77007/77055,Middle,615000,619900,615000,3.1,3,3102,3823,2020,441,Johanna Enclave
5717 Arabelle Crest,77007,77007/77055,Middle,614000,625000,614000,4.1,3,2881,1610,2012,7,Cottage Grove
8715 Axlewood Lane,77055,77007/77055,Middle,612500,620000,612500,2.1,3,2317,2753,2019,21,Enclave/Vly Oaks
7210 Shadyvilla Lane,77055,77007/77055,Middle,612000,625000,612000,2.1,3,2345,3451,2026,201,Spring Branch
4112 Feagan Street,77007,77007/77055,Middle,610000,639000,610000,3.1,3,2259,1741,2017,164,Feagan Gibson Lndg
2011 Crockett Street,77007,77007/77055,Middle,610000,610000,610000,2.1,3,1772,3100,1930,134,Shearn
1313 Lakin Street,77007,77007/77055,Middle,610000,595000,610000,3.1,3,2540,1903,2018,155,Lakin Park Villas
1605 Roy Street,77007,77007/77055,Middle,610000,650000,610000,3.1,3,2457,1900,2025,127,Roy Crossing
1316 Malone Street,77007,77007/77055,Middle,610000,625000,610000,2.1,3,2505,2875,2018,36,Woodcrest
9130 Rangely Drive,77055,77007/77055,Middle,610000,590000,610000,2.0,3,2059,13095,1966,3,Western Oaks
1409 Oak Tree Drive,77055,77007/77055,Middle,607500,615000,607500,2.0,3,1818,11130,1952,4,Long Point Woods
1104 Dart Street,77007,77007/77055,Middle,606534,599900,606534,2.1,3,2580,2500,2024,63,Townhomes at Dart
1710 Crockett Street,77007,77007/77055,Middle,606000,600000,606000,2.0,3,1288,5000,1908,19,First Ward Arts District
815 Arlington Street,77007,77007/77055,Middle,605000,635000,605000,1.0,3,1176,6600,1920,66,Houston Heights
6623 Housman Street,77055,77007/77055,Middle,605000,624900,605000,2.0,2,1443,7500,1956,29,Westview Terrace
2 Schwab Lane,77055,77007/77055,Middle,605000,625000,605000,3.1,4,3412,2016,2004,152,Tuscan Vls/Mem Amd 1
1751 Ojeman Point Lane,77055,77007/77055,Middle,605000,620000,605000,2.1,3,2322,2624,2021,7,Spring Vly Point
2517 Detering Street,77007,77007/77055,Middle,602500,614000,602500,3.1,3,2212,1650,2024,40,Deterlng Grove
5733 Darling Street,77007,77007/77055,Middle,600000,615000,600000,3.1,3,2402,2688,2016,45,COTTAGE GROVE
8422 Oak Leaf Point Drive,77055,77007/77055,Middle,600000,625000,600000,3.1,3,2893,2444,2018,53,Reserve/Moritz Sub
9108 Campbell Court,77055,77007/77055,Middle,600000,625000,600000,3.1,4,2915,1866,2008,32,Campbell Court Amd Rep 02
5927 Cottage Grove Lake Drive,77007,77007/77055,Middle,599900,599900,599900,3.1,3,2165,2492,2026,24,Cottage Grove Lake
3095 Hicks Street,77007,77007/77055,Middle,599900,559700,599900,3.1,3,2104,NULL,2025,80,White Oak Station
2519 Radcliffe Street,77007,77007/77055,Middle,599900,599900,599900,3.1,3,2147,1881,2025,238,Kansas Square
1110 Dart Street,77007,77007/77055,Middle,599900,599900,599900,2.1,3,2532,2500,2024,337,Townhomes at Dart
5230 Darling Street,77007,77007/77055,Middle,599500,618000,599500,2.1,3,2625,2687,2020,11,Cottage Grove Sec 01
5621 Cohn Meadows Lane,77007,77007/77055,Middle,599000,599000,599000,3.1,4,2669,1999,2014,52,Cottage Grove Sec 8 Rep 1 Partia
5337 Larkin Street,77007,77007/77055,Middle,599000,599000,599000,2.1,3,2157,2687,2025,221,COTTAGE GROVE SEC 1
523 Fowler Street,77007,77007/77055,Middle,599000,599000,599000,3.1,3,2273,1900,2007,1,Fowler Place
7414 Janak Drive,77055,77007/77055,Middle,598900,589900,598900,2.1,4,2094,7200,1950,164,Pine Terrace Sec 04
5713 Rose Street Unit#C,77007,77007/77055,Middle,597500,595000,597500,3.1,3,2556,1717,2009,97,Birdroseana
4613 Maxie Street,77007,77007/77055,Middle,596000,619000,596000,2.1,3,2494,2500,2021,20,Riverway West End Heights
2019 Crockett Street,77007,77007/77055,Middle,595000,612000,595000,2.1,3,1494,4420,1930,58,Shearn Add
5218 Feagan Street Unit#F,77007,77007/77055,Middle,595000,595000,595000,3.0,3,2445,2039,2011,72,Park Villas/Rice Military Sub
9829 Pine Lake Drive,77055,77007/77055,Middle,595000,649000,595000,3.0,4,2640,9230,1960,38,Spring Branch Woods Sec 01
512 Jackson Hill Street,77007,77007/77055,Middle,592000,594000,592000,3.1,3,2395,2615,2006,137,Aziza Hms/Jackson Hill Street
1705 Lindsey Ridge Drive,77055,77007/77055,Middle,590000,609999,590000,3.1,4,2624,2622,2020,446,Retreat/Westview Terrace
2703 Arabelle Grove,77007,77007/77055,Middle,585000,585000,585000,3.1,3,2984,2816,2012,68,Cottage Grove Sec 08 Rep 01
2518 Detering Street,77007,77007/77055,Middle,585000,595000,585000,2.0,4,1152,8062,1981,7,Cottage Grove Sec 01
1511 Crockett Street Unit#A,77007,77007/77055,Middle,585000,599000,585000,3.1,4,2991,2500,2019,193,Crockett Court
1511 Crockett Street Unit#B,77007,77007/77055,Middle,585000,599000,585000,3.1,4,3330,2500,2019,237,Sawyer Heights
1916 Shearn Street,77007,77007/77055,Middle,585000,599999,585000,2.1,3,2550,2500,2018,62,Hovas Heights
1426 Freedonia Drive,77055,77007/77055,Middle,584000,599000,584000,2.0,3,1811,11564,1956,33,Yupon Estates
2504 Langston Street,77007,77007/77055,Middle,580000,590000,580000,3.1,3,2266,1650,2021,22,Riverway on Langston
4006 Barnes Street,77007,77007/77055,Middle,579999,579999,579999,3.1,3,3129,1512,2015,37,Keystone/Jackson Hill
9222 Bronco Drive,77055,77007/77055,Middle,579370,598500,579370,2.0,3,2176,12125,1964,145,Western Oaks
6007 Matthew Oaks Place,77007,77007/77055,Middle,577500,584000,577500,3.1,3,2164,1704,2019,105,COTTAGE GROVE
922 Patterson Street,77007,77007/77055,Middle,575000,570000,575000,3.1,3,2525,1785,2012,4,Villas at Patterson Street
1607 Cohn Street,77007,77007/77055,Middle,575000,579000,575000,3.1,3,2392,1575,2013,46,Tyne Cohn Villas
6103 Tyne Street Unit#B,77007,77007/77055,Middle,575000,575000,575000,3.1,3,2488,1613,2014,6,West Side Terrace
7119 Shavelson Street,77055,77007/77055,Middle,575000,549900,575000,2.0,3,1828,8400,1953,3,Afton Village
9777 Larston Street,77055,77007/77055,Middle,575000,575000,575000,3.0,4,2569,8983,1959,4,Spring Branch Woods Sec 02
6601 Teluco Street,77055,77007/77055,Middle,575000,650000,575000,1.0,3,1359,9793,1950,55,Westview Terrace Sec 02
1421 Glenmore Forest Street,77055,77007/77055,Middle,575000,715900,575000,2.0,4,1947,8132,1955,382,GLENMORE FOREST ANNEX
4402 Schuler Street Unit#A,77007,77007/77055,Middle,570000,599000,570000,2.1,3,2414,2500,2019,17,Rice Military
8603 Costmary Lane,77055,77007/77055,Middle,570000,579000,570000,2.2,4,2578,3590,2016,144,The Sanctuary at Valley Oaks
8417 Water Oak Pass Drive,77055,77007/77055,Middle,569150,580000,569150,2.1,3,2922,1785,2016,60,Reserve at Moritz
2010 Sabine Street,77007,77007/77055,Middle,569000,569900,569000,4.1,4,2881,1772,2014,100,Gregory Square Amd
1703 White Street,77007,77007/77055,Middle,568000,589000,568000,3.1,3,2423,2000,2019,13,Sawyer Heights Lndg
4314 Gibson Street Unit#B,77007,77007/77055,Middle,568000,585000,568000,3.1,3,2578,2204,2014,234,West End Terrace
1612 Cohn Street,77007,77007/77055,Middle,565000,550000,565000,2.1,3,2544,2500,2005,5,Woodcrest
5609 Petty Street Unit#B,77007,77007/77055,Middle,565000,599000,565000,2.1,3,2598,2688,2017,22,Cottage Grove 3rd Add
4210 Koehler Street Unit#B,77007,77007/77055,Middle,565000,565000,565000,2.1,3,2233,2688,2018,0,Koehler Xing
5838 Kiam Street,77007,77007/77055,Middle,565000,560000,565000,2.1,3,2348,2687,2020,6,Cottage Grove
1307 Beachton Street,77007,77007/77055,Middle,565000,574900,565000,2.1,3,2429,2400,2025,409,Townhomes at Beachton
2506 Radcliffe Street,77007,77007/77055,Middle,565000,595000,565000,2.1,3,2544,2650,2017,10,Cottage Grove
2301 Arabelle Street,77007,77007/77055,Middle,565000,579900,565000,3.1,4,3204,2500,2016,100,Cottage Grove Sec 04
5235A Petty Street,77007,77007/77055,Middle,565000,572000,565000,2.1,3,2556,2688,2019,139,Cottage Grove
5515 Katy,77007,77007/77055,Middle,564900,549900,564900,2.1,3,2532,2688,2025,84,Cottage Grove
3097 Hicks Street,77007,77007/77055,Middle,563000,563700,563000,3.1,3,2104,NULL,2025,0,White Oak Station
1722 Leilani Drive,77055,77007/77055,Middle,563000,575000,563000,2.1,4,2206,2622,2022,4,Retreat at Westview Terrace
5715 Arabelle Lake Street,77007,77007/77055,Middle,560000,579900,560000,3.1,4,2630,1999,2011,66,Cottage Grove Sec 08 Rep 01
5439 Darling Street,77007,77007/77055,Middle,560000,569000,560000,3.1,3,2512,2000,2025,402,MELSYS
4606 Feagan Street,77007,77007/77055,Middle,560000,625000,560000,3.1,3,2398,2500,2007,78,Bercon on Feagan Street
1709 Leilani Drive,77055,77007/77055,Middle,560000,575000,560000,2.1,3,2165,2770,2019,26,Retreat at Westview Terrace
1411 Beachton Street,77007,77007/77055,Middle,559000,559000,559000,4.1,3,2988,1600,2013,67,Beachton Villas
5218A Rose Street,77007,77007/77055,Middle,557500,600000,557500,3.1,3,2380,2396,2003,6,Villas Rose Street
8427 Westview Drive,77055,77007/77055,Middle,556000,599000,556000,2.0,4,2540,8470,1953,56,Spring Valley Village
4301 Gibson Street,77007,77007/77055,Middle,555000,549000,555000,3.1,3,2374,2491,2006,9,Millennium Villas
5834 Kiam Street,77007,77007/77055,Middle,555000,565000,555000,2.1,3,2245,2687,2021,11,none
6011 Maxie Street,77007,77007/77055,Middle,555000,555000,555000,2.0,3,1290,5600,1930,13,Woodcrest Annex
710 Roy Street,77007,77007/77055,Middle,555000,574500,555000,2.1,3,2412,3188,2000,13,Rose Street T/H Sec 01
1416 Aldrich Street,77055,77007/77055,Middle,555000,565000,555000,1.0,2,1220,7552,1949,1,Westview Terrace
5626 Petty Street,77007,77007/77055,Middle,552000,559000,552000,3.1,3,3051,2688,2011,197,Cottage Grove 3rd Sec
4319 Rose Street,77007,77007/77055,Middle,550000,565000,550000,3.1,3,2273,1650,2013,44,Park Villas/West End
1505 Detering Street,77007,77007/77055,Middle,550000,575000,550000,3.1,3,2990,2126,2014,319,Malek/Detering
4100 Blossom Street Unit#A,77007,77007/77055,Middle,550000,550000,550000,2.1,3,2484,3482,2004,11,Blossom Hill Square
704 W 8th Street,77007,77007/77055,Middle,550000,549999,550000,3.1,3,2066,1406,2007,0,Waterhill Homes/Hts
4302 Gibson Street Unit#B,77007,77007/77055,Middle,550000,599990,550000,3.1,3,2600,2367,2006,126,Gibson Court
5224 Darling Street Unit#B,77007,77007/77055,Middle,550000,550000,550000,3.1,3,2672,2687,2014,3,Cottage Grove
805 Sandman Street,77007,77007/77055,Middle,550000,559000,550000,3.1,3,2300,1515,2014,28,Rice Military Point
535 Arlington Street,77007,77007/77055,Middle,550000,600000,550000,2.1,4,1140,6600,1920,119,Houston Heights
2514 Detering Street,77007,77007/77055,Middle,550000,565000,550000,2.1,3,2260,2700,2014,33,Cottage Grove Sec 01
1421 Caywood Lane,77055,77007/77055,Middle,550000,570000,550000,1.0,2,1920,10863,1950,31,SHADYVILLA
1425 Caywood Lane,77055,77007/77055,Middle,550000,570000,550000,2.0,3,1920,10863,1950,35,SHADYVILLA
1702 Shearn Street,77007,77007/77055,Middle,545000,549000,545000,3.1,3,2465,1881,2014,101,Kayla Oaks
2313 Sherwin Street,77007,77007/77055,Middle,545000,549900,545000,3.1,3,2240,1659,2022,75,Leeby Twnhms
5537 Petty Street,77007,77007/77055,Middle,545000,549000,545000,2.1,3,2093,2688,2018,14,Cottage Grove Sec 03
5627 Darling,77007,77007/77055,Middle,545000,550000,545000,2.1,3,2546,2688,2014,105,Cottage Grove
437 Jackson Hill Street,77007,77007/77055,Middle,543000,549000,543000,3.1,3,2608,2275,2006,22,Jackson Hill Add
7227 Shavelson Street,77055,77007/77055,Middle,542500,575000,542500,2.0,3,2253,14040,1957,35,Afton Village
1628 McDonald Street,77007,77007/77055,Middle,540000,575000,540000,3.1,3,2420,2052,2010,18,Villas/Macdonald Street
506 Knox Street,77007,77007/77055,Middle,540000,549000,540000,3.1,3,2424,1541,2012,113,Park Villas at Knox
5210 Rose Street Unit#C,77007,77007/77055,Middle,540000,569000,540000,3.2,3,2498,1798,2011,95,Zenith Rose Villas
5825 Petty Street,77007,77007/77055,Middle,540000,585000,540000,3.1,4,2972,2688,2015,479,Cottage Grove 4th Sec
9602 Long Branch Lane,77055,77007/77055,Middle,540000,575000,540000,1.1,3,1388,9750,1955,50,Long Point Woods Sec 02
1509 Adkins Road,77055,77007/77055,Middle,540000,550000,540000,2.0,3,1865,9600,1960,3,Linden Lea Sec 01
220 Detering Street,77007,77007/77055,Middle,539000,559000,539000,3.1,3,2561,2331,2006,12,Courtyards/Detering Place
7903 S Wellington Court,77055,77007/77055,Middle,538400,550000,538400,2.0,3,1773,7878,1997,394,Wellington Court
5519 Katy,77007,77007/77055,Middle,537165,534900,537165,2.1,3,2492,2688,2025,43,Cottage Grove
1415 Devonshire Manor Lane,77055,77007/77055,Middle,535300,549900,535300,3.1,3,2574,1500,2015,6,Westview Manor
527 Oxford Street Unit#C,77007,77007/77055,Middle,535000,550000,535000,2.1,3,2382,2192,2003,56,Oxford Park
6018 Maxie Street Unit#B,77007,77007/77055,Middle,535000,549000,535000,3.1,3,2138,1407,2014,167,Rice Military
114 Heights Boulevard Unit#E,77007,77007/77055,Middle,534000,529000,534000,3.1,3,3024,1904,2013,5,Villas D/Hts
5004 Rose Street,77007,77007/77055,Middle,534000,549900,534000,3.1,3,2231,1619,2014,111,Rice Military Point
5406 Darling Street Unit#A,77007,77007/77055,Middle,531000,549000,531000,2.1,3,2482,2688,2013,113,Cottage Grove
5229 Eigel Street,77007,77007/77055,Middle,530000,560000,530000,1.0,3,1056,6502,1936,40,Cottage Grove
5734 Petty Street,77007,77007/77055,Middle,530000,545000,530000,3.1,3,2448,2688,2006,16,Cottage Grove
725 Dorothy Street,77007,77007/77055,Middle,530000,565000,530000,3.1,3,1920,1428,2014,37,Park Place/Hts
1602 Fowler Street,77007,77007/77055,Middle,530000,500000,530000,3.1,3,2503,1650,2010,21,Eigel Place Villas
6625 Sivley Street,77055,77007/77055,Middle,530000,545000,530000,1.0,2,964,8125,1948,21,Westview Terrace
1606 Afton Street,77055,77007/77055,Middle,530000,539900,530000,2.0,3,1401,8184,1952,21,Pine Terrace
6413 Remlap Street,77055,77007/77055,Middle,530000,559444,530000,2.0,3,2030,8125,1949,3,Westview Terrace Sec 02
207 Malone Street,77007,77007/77055,Middle,529000,520000,529000,1.1,3,1163,5000,1940,3,Rice Military
1702 Utah Street Unit#B,77007,77007/77055,Middle,528000,539900,528000,3.1,3,2510,2437,2014,141,Rice Military
1520 Malone Street,77007,77007/77055,Middle,525000,539000,525000,3.2,3,2557,1403,2014,287,Carnegie Villas/Allen Street
548 Granberry Street,77007,77007/77055,Middle,525000,525000,525000,2.0,2,1092,5000,1920,59,Houston Heights
1330 Malone Street,77007,77007/77055,Middle,525000,520000,525000,2.1,3,2272,1837,2001,15,Malone Gardens
818 Olive Street Unit#B,77007,77007/77055,Middle,525000,565000,525000,2.1,3,2488,2600,2012,183,Colina Homes/Olive Street
5731 Larkin Street Unit#B,77007,77007/77055,Middle,525000,549000,525000,2.1,3,2288,2688,2016,72,Cottage Grove Sec 04
1508 Sabine Street,77007,77007/77055,Middle,525000,569000,525000,3.1,3,2347,1650,2019,296,Sawyer Heights Grove
4006 Spencer Street,77007,77007/77055,Middle,525000,539000,525000,3.1,4,2835,2312,2013,98,Spencer Walk
431 Jackson Hill Street,77007,77007/77055,Middle,525000,535000,525000,3.1,3,2608,2275,2006,35,Jackson Hill Add
1463 Springrock Lane Unit#A,77055,77007/77055,Middle,525000,539999,525000,3.1,3,2888,3069,2004,58,Springrock Lane Sec 04 Rep 01
1939 Woodvine Drive,77055,77007/77055,Middle,525000,525000,525000,5.0,5,2200,7840,1960,395,Long Point Oaks
9629 Maribelle Way,77055,77007/77055,Middle,524000,549000,524000,2.0,3,2070,9100,1952,29,Long Point Woods
303 Bethje Street,77007,77007/77055,Middle,523400,550000,523400,3.1,3,2355,1800,2012,41,Bercons Dickson Street Enclave
151 E 2nd Street,77007,77007/77055,Middle,522500,524990,522500,3.1,3,2513,2742,2014,191,Madison Park Villas
2107 Crockett Street,77007,77007/77055,Middle,522000,535000,522000,2.1,3,2390,2500,2015,112,Crockett Square
1747 Ojeman Spring Lane,77055,77007/77055,Middle,522000,565000,522000,3.1,3,2121,1417,2021,384,Spring Valley Point
5612 Lacy Street,77007,77007/77055,Middle,521000,547000,521000,3.1,3,2380,1859,2005,330,Rice Military
1213 Crockett Street,77007,77007/77055,Middle,520000,549000,520000,3.1,4,3003,3856,2017,130,Goliad Grove
4109 Schuler Street,77007,77007/77055,Middle,520000,529000,520000,3.1,3,2173,1485,2016,12,Vistas De Sevilla Amd Pla
5605 Darling Street,77007,77007/77055,Middle,520000,530000,520000,3.1,3,2390,2688,2007,20,Cottage Grove Sec
5305 Eigel Street,77007,77007/77055,Middle,520000,520000,520000,3.1,3,2489,1909,2025,65,Malek/Detering
1438 Waseca Street,77055,77007/77055,Middle,520000,499000,520000,2.1,4,2318,4008,2001,5,Waseca Dev
3089 Hicks Street,77007,77007/77055,Middle,519900,519900,519900,3.1,3,1836,NULL,2025,88,White Oak Station
5515 Crooms Street,77007,77007/77055,Middle,518000,540000,518000,3.1,3,2647,1677,1999,54,Crooms Street Twnhms
4222 Schuler Street,77007,77007/77055,Middle,517000,519000,517000,3.1,3,2213,1510,2020,62,Schuler Terrace
1235 Bonner Street,77007,77007/77055,Middle,515000,540000,515000,3.1,3,2252,2279,2013,18,Vistas De Sevilla
1106 Fowler Street,77007,77007/77055,Low,515000,550000,515000,3.1,3,2235,1483,2019,9,Vita Homes at Center Street
1245 Bonner Street Unit#A,77007,77007/77055,Low,515000,515000,515000,3.1,3,2194,2041,2014,5,Rice Military
6112 Tyne Street Unit#B,77007,77007/77055,Low,515000,515000,515000,3.1,3,2532,2500,2009,6,Bercons Tyne Street Rresidenc
2415 Radcliffe Street,77007,77007/77055,Low,515000,519000,515000,3.1,3,2714,1975,2013,41,Cottage Grove
188 Harvard Street,77007,77007/77055,Low,515000,515000,515000,3.1,3,2256,2675,2012,296,Allegro/Bayou
2407 Radcliffe Street,77007,77007/77055,Low,513000,529000,513000,3.1,3,2714,1775,2013,86,Radcliffe Gardens
4611 Inker Street,77007,77007/77055,Low,512000,519900,512000,3.1,3,2424,1650,2008,20,Inker Place Villas
6725 Woodbend Park S,77055,77007/77055,Low,511500,515000,511500,3.1,3,2569,2386,2013,6,Cottage Grove Sec 1
5609 Kansas Street Unit#C,77007,77007/77055,Low,510000,522999,510000,3.1,3,2576,1796,2008,20,Kansas Courts
4656 Cornish Street,77007,77007/77055,Low,510000,510000,510000,2.1,3,2309,2449,2008,39,Villas/Shepherd Sec 2
2106 Radcliffe Street,77007,77007/77055,Low,509000,519500,509000,3.1,3,2485,1509,2014,56,Larkin Place
1524 Jacquelyn Drive,77055,77007/77055,Low,509000,499000,509000,0.0,0,1559,8848,1950,1,Craig Woods
4310 Koehler Street Unit#A,77007,77007/77055,Low,507000,515000,507000,3.1,3,2215,2104,2018,7,Koehlers Street Manors
2727 Cohn Street,77007,77007/77055,Low,507000,515000,507000,3.1,3,2323,1688,2013,69,Cottage Grove Sec 08 Rep 01
1302 Antoine Drive Unit#C,77055,77007/77055,Low,507000,549900,507000,3.1,3,2680,1405,2006,142,Antoine Villas
629 W 8th Street,77007,77007/77055,Low,505000,515000,505000,3.1,3,2084,2026,2008,13,West 8th Street Commons
1509 Parker Street,77007,77007/77055,Low,505000,510000,505000,3.1,3,2396,2137,2013,31,Distinctive Living Maxie
1727 Reinerman Street,77007,77007/77055,Low,505000,520000,505000,3.1,3,2349,1875,2005,28,Millennium Patio Homes/Nolda
1717 Silver Street,77007,77007/77055,Low,504000,549000,504000,3.1,3,2200,1606,2012,227,Sawyer Skyline
6410 Coppage Street,77007,77007/77055,Low,503000,500000,503000,1.1,1,1440,1500,2003,12,Camp Logan
5233 Cornish Street Unit#C,77007,77007/77055,Low,502500,519000,502500,2.1,3,2393,2688,2013,163,Cottage Grove Sec 01
5903 Petty Street Unit#F,77007,77007/77055,Low,500500,505000,500500,2.1,3,2164,2602,2019,2,Grace Oak Trls
